0#-2.394,-1.913,169.443#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
1#-2.407,-1.932,173.218#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
2#-2.421,-1.927,212.51#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
3#-2.403,-1.902,288.079#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
4#-2.356,-1.909,35.914#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
5#-2.316,-1.917,97.49#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
6#-2.34,-1.947,101.727#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
7#-2.386,-2.022,217.885#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
8#-2.408,-2.081,211.358#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
9#-2.324,-2.098,200.704#0.638,1.518;1.278,-0.753;0.165,0.273;1.779,0.03;1.267,0.072;1.56,-0.697;-0.898,-0.77;2.307,-0.042;0.111,1.344;-1.15,-1.647;2.072,1.299;-0.147,-1.763;#-0.636,1.661;0.159,0.828;2.014,0.688;-1.718,1.286;0.713,1.278;-2.424,0.89;-2.001,-0.611;-1.001,0.247;-1.978,-1.374;0.605,-0.431;1.756,-0.098;2.156,-1.377;#-2.134,-1.829;-1.524,-1.829;-0.914,-1.981;-0.305,-1.981;0.305,-1.981;0.914,-1.981;1.524,-1.829;2.134,-1.676;2.438,-1.372;2.438,-0.762;2.438,-0.152;1.829,-0.0;1.219,0.152;0.61,0.152;-0.0,0.152;-0.61,-0.0;-1.219,-0.305;-1.524,-0.61;-2.134,-0.762;-2.743,-0.762;-3.048,-0.305;-3.048,0.305;-3.048,0.914;-2.743,1.372;-2.438,1.676;-1.829,1.676;-1.219,1.676;-0.61,1.829;-0.0,1.829;0.61,1.829;1.219,1.829;1.829,1.829;2.438,1.829;#2.438,1.829
