arguments: 47 36 1 -0.215385 0.214669 -0.49839 -0.0715564
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.07, -0.07, -0.02, 0.04, -0.02, -0.07, -1.17, -0.07, -0.07, -1.22, -0.07, -0.07, -0.07, -1.27, -0.07, -0.07, -0.07, -1.32, -0.07, -0.07, -1.37, -0.07, -1.42, -0.07, -0.07, -1.47, -0.07, -0.07, 
-0.07, -0.07, -0.12, -0.07, -0.07, -0.17, -0.07, -0.07, 0.04, 0.14, 0.04, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.02, 0.04, -0.02, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-- optimal policy --
r  r  v  r  v  l  l  l  <  <  >  r  r  r  r  r  r  v  l  l  l  l  <  l  <  <  l  l  
>  >  r  v  l  <  <  <  <  l  R  >  >  >  r  r  r  v  l  l  <  <  L  <  <  <  l  l  
R  R  >  v  <  L  L  L  l  l  >  >  >  R  >  >  >  ^  <  <  <  <  <  L  <  l  l  l  
r  >  R  ^  L  L  L  l  <  <  v  >  >  >  R  R  R  ^  L  L  L  L  <  l  l  l  l  l  
>  r  r  v  l  l  l  <  <  v  r  v  >  R  R  R  R  ^  L  L  r  v  v  l  l  l  l  <  
R  >  r  v  l  l  <  L  <  r  v  l  R  R  r  R  ^  L  L  r  v  v  l  l  l  l  <  L  
R  R  >  >  <  <  L  L  r  >  r  v  l  r  r  v  l  l  r  r  v  l  l  l  <  l  <  v  
v  R  R  ^  L  L  L  <  >  r  >  r  v  r  r  v  l  r  r  v  l  l  l  <  l  <  v  v  
r  v  R  R  ^  L  <  L  >  >  r  >  r  v  >  <  <  >  r  v  l  l  <  <  <  v  l  v  
r  r  v  l  l  l  L  L  r  >  >  r  r  v  l  ^  L  R  >  ^  <  <  L  <  v  v  v  v  
r  r  v  l  l  <  <  L  >  R  >  >  >  <  <  <  l  l  R  ^  L  L  L  v  r  v  v  l  
>  >  ^  <  <  l  <  l  R  R  R  R  R  ^  L  L  <  <  R  R  ^  L  <  r  r  v  l  l  
R  R  ^  L  L  <  v  l  R  ^  L  R  R  ^  L  L  L  L  l  R  R  ^  L  >  r  v  l  l  
R  R  ^  L  L  L  r  v  l  r  v  l  R  ^  L  L  L  L  <  R  ^  ^  L  R  >  ^  <  <  
R  ^  L  L  L  >  r  r  v  l  l  l  l  ^  ^  L  L  L  L  ^  L  r  r  R  R  ^  L  L  
^  L  L  L  L  >  >  >  <  <  <  <  <  <  L  ^  ^  L  L  L  R  >  >  >  R  ^  L  L  
^  L  L  L  r  >  R  R  ^  L  L  L  L  l  <  L  ^  ^  L  L  R  R  R  R  ^  R  ^  L  
^  ^  L  r  r  R  R  R  ^  L  v  l  l  <  L  L  L  L  ^  L  r  R  >  R  R  ^  ^  L  
^  ^  >  >  >  R  r  r  r  v  l  l  l  L  l  <  L  <  L  >  >  R  R  R  ^  ^  L  ^  
^  r  r  >  R  r  r  >  >  >  <  <  <  l  <  <  <  L  <  >  R  R  R  ^  ^  L  ^  ^  
R  >  >  R  >  >  >  R  R  ^  L  L  L  <  L  <  l  <  L  R  R  R  ^  ^  ^  ^  L  ^  
>  R  R  >  >  R  R  R  R  ^  L  L  L  L  <  <  <  <  <  R  R  ^  ^  ^  ^  ^  ^  ^  
Correct actions (%) : 19.74
Avg angular diffs   : 85.86
