arguments: 27 39 4 0.173842 -0.649066 -0.095857 -0.0812348
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.08, -0.08, -0.08, -0.08, -0.08, -0.16, -0.08, -0.08, -0.17, -0.08, -0.08, -0.18, -0.08, -0.08, -0.24, -0.41, -0.24, -0.08, -0.04, 0.01, -0.04, 0.01, 0.09, 0.01, -0.08, -0.08, -0.08, -0.08, 
-0.09, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.25, -0.08, -0.08, -0.26, -0.08, -0.08, -0.27, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, 
-0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, 
-0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, 
-- optimal policy --
v  r  v  l  v  r  v  l  v  >  r  r  v  l  <  >  >  >  >  r  >  >  ^  <  <  l  <  <  
r  v  r  v  l  v  l  v  v  v  r  r  r  v  l  r  R  R  R  >  R  R  ^  L  L  <  <  L  
r  r  v  r  v  r  v  v  v  l  v  r  >  r  r  r  v  l  R  R  ^  R  ^  L  L  L  L  <  
r  r  r  r  r  r  v  l  v  v  l  >  >  >  r  r  v  l  l  R  ^  L  ^  L  L  L  <  L  
>  r  r  r  r  v  r  v  v  l  l  l  >  R  >  r  v  l  l  l  l  ^  L  L  L  L  L  L  
r  >  r  r  r  r  v  l  l  l  l  <  R  ^  R  >  ^  <  <  l  l  l  ^  L  L  ^  L  L  
>  r  >  r  r  r  v  l  l  l  <  <  ^  L  R  R  ^  L  l  <  l  l  <  ^  L  L  R  ^  
R  >  r  >  r  r  v  l  l  l  l  L  r  r  v  l  r  v  l  l  l  l  <  l  L  l  R  ^  
>  R  r  >  >  >  >  <  <  l  l  >  >  >  >  <  >  >  <  <  <  <  <  <  <  <  R  ^  
r  >  >  R  R  R  r  v  l  l  l  R  R  R  ^  L  R  ^  L  L  L  <  L  l  <  L  L  L  
>  R  R  R  R  >  >  <  <  l  l  l  R  R  ^  L  R  ^  L  L  L  L  L  <  l  l  R  ^  
R  R  R  R  R  R  R  ^  L  l  l  <  R  R  ^  r  r  v  l  l  l  <  <  L  <  l  l  v  
v  R  R  R  R  R  >  >  ^  <  <  L  ^  R  r  r  r  v  l  l  <  L  L  L  L  <  l  l  
r  v  v  R  R  R  R  R  ^  L  L  <  <  R  >  >  >  v  <  <  L  L  R  ^  L  L  <  <  
r  v  l  l  l  l  R  R  ^  L  L  L  <  >  R  R  R  ^  L  L  <  l  R  R  ^  L  L  <  
r  v  l  l  l  <  l  R  ^  ^  L  L  L  R  R  R  R  ^  L  L  L  l  l  l  R  ^  L  L  
r  v  l  l  <  <  l  R  ^  ^  ^  L  R  R  R  R  R  R  ^  L  L  <  <  l  l  l  <  L  
>  <  <  <  <  l  <  ^  R  R  R  ^  L  R  R  ^  R  ^  L  ^  L  L  L  <  <  <  <  L  
R  ^  L  L  <  <  <  L  ^  R  ^  L  R  R  ^  R  ^  L  ^  ^  L  L  L  L  <  <  <  l  
R  ^  L  L  L  L  <  <  R  ^  L  R  R  R  ^  ^  ^  R  ^  L  ^  L  ^  L  L  <  l  <  
R  R  ^  L  L  L  <  <  <  ^  R  ^  R  R  ^  L  R  ^  L  R  ^  L  L  ^  L  L  <  L  
R  ^  ^  L  L  L  L  <  <  <  ^  R  R  ^  R  ^  L  ^  L  L  ^  ^  L  L  L  L  L  <  
Correct actions (%) : 18.18
Avg angular diffs   : 83.05
