arguments: 28 36 4 0.319884 0.360032 -0.280036 -0.0400481
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.02, 0.05, -0.02, -0.04, -0.04, -0.04, -0.66, -0.04, -0.04, -0.59, 0.32, 0.05, -0.04, -0.71, -0.04, -0.04, -0.04, -0.74, 0.06, 0.21, -0.67, -0.04, -0.80, -0.04, -0.04, -0.82, -0.04, -0.04, 
-0.04, -0.04, -0.07, -0.02, 0.05, -0.08, -0.04, -0.04, -0.12, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, 
-0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, 
-0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, 
-- optimal policy --
r  v  l  l  <  r  r  >  r  >  L  <  <  r  r  r  r  r  r  v  l  l  l  l  l  l  l  l  
>  v  <  <  l  r  r  r  >  R  ^  L  L  r  r  r  r  >  >  v  <  <  l  l  <  l  l  l  
R  ^  L  L  <  >  r  >  R  R  ^  L  r  r  v  >  >  R  R  ^  L  L  <  <  l  l  <  <  
R  ^  L  L  L  r  >  R  R  R  ^  r  r  >  R  R  R  >  R  ^  L  <  L  l  l  l  L  l  
r  v  v  v  r  v  R  R  R  ^  r  r  >  R  ^  R  R  R  ^  L  ^  L  L  l  <  <  l  <  
r  r  v  l  r  r  v  l  l  r  r  >  R  ^  L  R  R  R  ^  L  R  ^  L  <  l  <  <  L  
r  r  v  l  r  r  v  l  l  >  >  R  R  ^  L  R  R  ^  R  R  R  ^  L  L  <  <  L  l  
>  >  v  <  >  >  v  <  <  R  R  ^  R  ^  L  L  ^  R  R  R  R  ^  L  L  L  L  l  l  
R  R  ^  L  R  R  ^  L  L  R  ^  R  ^  R  ^  L  L  R  R  R  ^  R  ^  L  L  v  l  l  
R  R  ^  r  v  l  ^  L  L  L  R  ^  R  ^  ^  L  L  R  R  ^  ^  ^  ^  L  >  L  <  <  
r  v  l  >  v  <  <  ^  L  r  v  v  v  l  l  r  r  v  l  ^  R  ^  L  R  R  ^  L  L  
r  v  l  R  ^  L  L  v  l  r  r  v  l  l  l  r  r  v  l  l  r  v  l  R  R  ^  L  L  
>  v  <  <  r  r  v  l  l  r  r  v  l  l  l  >  >  v  <  <  r  v  l  >  r  v  l  l  
R  ^  L  L  r  r  v  l  l  >  >  v  <  <  l  R  R  ^  L  L  >  >  <  r  >  >  <  <  
R  ^  L  L  >  >  v  <  <  R  R  ^  L  L  <  R  R  ^  L  l  R  r  v  l  R  ^  L  L  
^  ^  ^  L  R  R  ^  L  L  R  R  ^  L  L  L  R  r  r  v  l  l  >  v  <  R  ^  L  L  
^  r  r  r  R  R  ^  L  L  L  ^  L  L  L  L  r  >  >  >  <  <  R  ^  L  L  L  ^  L  
>  r  r  r  v  l  l  ^  L  L  L  L  ^  L  L  >  R  R  ^  L  L  R  ^  L  L  <  ^  L  
r  >  >  >  >  <  <  <  ^  L  L  L  L  ^  R  R  R  ^  L  ^  L  L  L  ^  L  L  <  ^  
>  R  R  R  ^  L  L  <  <  ^  L  L  L  R  >  R  R  R  ^  L  ^  L  L  L  L  L  L  <  
R  R  R  R  ^  L  L  L  L  <  L  L  L  >  R  R  ^  ^  R  ^  L  ^  L  L  L  L  L  L  
R  R  R  ^  L  ^  L  L  L  <  <  L  >  R  R  ^  ^  R  R  ^  L  L  ^  L  L  L  L  L  
Total actions tested : 61
Correct actions (%) : 21.31
Avg angular diffs   : 76.72
