arguments: 27 28 3 0.177013 -0.668205 -0.0708893 -0.0838926
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.08, -0.21, -0.33, -0.21, 0.00, -0.04, -0.24, -0.08, -0.08, -0.25, -0.08, -0.08, -0.08, -0.25, -0.08, -0.08, -0.25, -0.60, -0.25, -0.08, -0.27, -0.08, -0.28, -0.08, -0.08, -0.28, -0.08, -0.08, 
-0.08, -0.08, -0.09, -0.04, 0.00, -0.05, -0.08, -0.25, -0.42, -0.25, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, 
-0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, 
-0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, -0.08, 
-- optimal policy --
v  l  >  r  v  l  l  l  v  l  l  l  <  >  r  v  l  <  r  v  v  l  l  l  l  <  r  v  
v  l  r  >  ^  <  <  v  l  l  l  <  l  R  r  v  l  l  r  v  l  l  l  l  l  L  r  v  
<  v  l  R  ^  L  r  v  l  l  v  l  l  r  r  v  l  l  v  l  l  l  l  l  l  l  r  v  
^  L  <  R  ^  L  >  >  <  <  l  l  l  r  >  >  <  r  v  l  l  l  l  <  l  l  l  l  
R  ^  L  L  >  R  R  ^  r  v  l  l  <  >  R  ^  L  r  v  l  l  l  <  l  <  <  l  <  
^  ^  L  L  r  r  v  >  >  <  <  <  <  R  R  ^  >  >  v  <  <  l  l  <  l  <  <  L  
R  ^  L  R  >  r  v  l  R  ^  L  L  <  R  R  ^  R  R  ^  L  l  l  l  <  l  <  <  l  
R  ^  L  r  r  >  v  <  R  ^  L  L  L  R  ^  L  R  >  ^  <  <  <  <  l  <  <  l  <  
^  r  r  r  >  R  ^  L  L  <  L  L  L  L  ^  r  r  R  ^  L  L  L  L  <  L  l  <  L  
r  >  >  >  R  R  ^  L  L  L  L  L  L  L  L  >  >  R  ^  L  L  L  L  L  L  <  L  v  
>  >  >  R  R  ^  R  ^  L  L  R  r  r  v  >  >  R  ^  L  ^  L  L  L  L  L  L  v  l  
R  >  R  R  ^  R  ^  L  ^  L  r  r  v  l  v  R  r  r  r  v  v  l  ^  L  L  v  l  <  
r  R  R  ^  R  ^  ^  ^  ^  L  >  r  r  v  l  l  >  r  r  r  v  l  l  r  v  l  <  L  
r  v  v  r  v  v  l  l  l  r  r  r  v  l  l  l  >  r  r  r  v  l  l  l  l  <  <  L  
