arguments: 47 42 4 0.389755 -0.277283 0.277283 -0.0556793
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 0.55, -0.06, -0.06, 0.58, -0.06, 0.04, 0.14, 0.71, -0.06, -0.06, -0.06, 0.64, -0.06, -0.06, 0.67, -0.06, 0.69, -0.06, -0.06, 0.72, -0.06, -0.06, 
-0.06, -0.06, -0.03, -0.06, -0.06, -0.00, -0.06, -0.06, 0.03, -0.06, -0.13, -0.33, -0.13, -0.06, -0.06, -0.06, -0.06, -0.06, 0.04, 0.14, 0.04, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.07, -0.13, -0.07, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-- optimal policy --
r  r  r  v  l  >  L  <  >  ^  <  r  >  ^  <  l  >  ^  <  >  R  >  ^  <  >  ^  <  l  
r  r  >  l  <  R  ^  L  R  ^  L  >  R  ^  L  <  R  ^  L  R  ^  R  ^  L  R  ^  L  <  
r  v  R  ^  L  ^  L  R  ^  L  R  R  ^  L  L  L  ^  L  R  ^  R  R  ^  R  ^  R  ^  L  
>  R  <  L  L  L  R  ^  r  >  R  R  ^  L  L  ^  L  <  R  R  ^  L  R  ^  L  R  R  ^  
R  ^  L  L  L  L  L  r  >  R  R  ^  L  R  R  ^  L  L  R  ^  L  R  R  R  ^  R  ^  L  
v  l  ^  L  L  L  L  >  R  R  ^  L  v  l  R  ^  L  L  L  ^  L  R  ^  R  R  ^  L  L  
<  <  <  ^  L  L  >  R  R  R  ^  >  v  <  <  ^  ^  L  L  L  R  ^  r  R  R  ^  L  L  
^  L  <  <  v  l  R  >  R  <  R  R  ^  L  L  ^  L  ^  L  L  L  >  >  >  ^  <  L  L  
v  l  L  v  l  l  R  R  ^  L  R  R  ^  L  L  L  R  ^  L  L  L  R  R  R  ^  L  L  L  
