arguments: 45 26 1 0.348391 -0.456522 -0.138622 -0.0564653
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.36, -0.06, 0.12, -0.03, 0.12, -0.06, -0.06, -0.39, -0.06, -0.06, 0.03, -0.23, 0.03, -0.06, -0.42, -0.06, -0.43, -0.06, -0.06, -0.44, -0.06, -0.06, 
-0.06, -0.06, -0.07, -0.06, -0.06, -0.08, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-- optimal policy --
r  >  >  >  >  r  >  >  r  v  l  <  l  >  >  r  r  v  l  l  <  r  v  v  v  l  l  <  
R  r  r  >  >  >  >  R  ^  L  ^  L  <  >  R  >  >  <  <  <  L  r  v  v  l  <  <  <  
r  >  r  r  >  >  R  R  R  ^  L  L  L  R  R  R  R  ^  L  L  L  r  v  l  <  <  <  l  
v  >  r  r  >  R  R  R  ^  ^  L  L  L  L  L  R  R  ^  L  l  r  v  l  <  <  <  l  l  
v  v  >  >  R  R  R  ^  R  R  ^  L  L  L  r  r  r  r  v  l  r  v  l  L  L  L  l  l  
r  v  v  R  R  R  ^  R  R  ^  L  ^  ^  >  >  r  >  >  >  <  r  v  l  l  r  v  l  <  
r  v  l  v  v  l  v  v  v  v  v  v  R  >  >  >  R  R  ^  L  >  ^  <  l  l  l  <  v  
r  r  v  v  l  v  v  l  r  v  v  v  v  R  R  R  R  R  ^  L  R  ^  L  <  l  <  v  v  
r  r  v  l  v  v  l  r  v  r  v  v  l  <  R  R  R  ^  R  R  R  ^  L  L  <  v  r  v  
r  r  v  r  v  l  <  r  r  r  r  r  v  l  r  r  r  v  l  R  R  ^  L  L  v  v  v  l  
r  r  r  v  l  l  L  r  r  r  r  v  l  l  r  r  v  l  l  l  l  R  r  v  r  v  l  l  
>  r  r  v  l  l  l  >  >  r  r  v  l  l  r  r  v  l  l  l  <  >  >  r  r  v  l  l  
R  >  >  v  <  <  l  l  >  >  >  v  <  r  v  l  <  <  <  <  l  r  >  >  >  <  <  <  
