arguments: 28 39 4 0.319884 0.360032 -0.280036 -0.0400481
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.04, -0.04, -0.04, -0.04, -0.04, -0.26, -0.04, -0.04, -0.29, -0.04, -0.04, -0.32, -0.04, -0.04, 0.05, 0.14, 0.05, -0.04, 0.04, 0.12, 0.04, 0.12, 0.28, 0.12, -0.04, -0.04, -0.04, -0.04, 
-0.07, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.54, -0.04, -0.04, -0.57, -0.04, -0.04, -0.60, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, 
-0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, 
-0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, -0.04, 
-- optimal policy --
v  v  v  v  r  r  r  r  r  r  r  >  >  r  r  v  l  r  r  v  l  >  L  <  <  <  l  <  
r  v  v  v  l  r  v  r  r  r  r  >  R  >  >  >  <  r  v  l  <  R  ^  L  L  L  <  v  
r  r  v  l  r  v  v  l  r  r  r  r  >  R  R  ^  L  >  R  <  L  L  ^  L  L  L  v  l  
r  r  r  r  r  r  v  v  l  r  r  r  r  R  R  ^  R  R  ^  L  L  L  L  ^  r  v  l  l  
r  r  r  r  r  r  r  v  v  l  >  r  r  r  v  l  l  l  ^  L  L  L  r  r  r  v  l  l  
>  >  r  r  r  v  v  v  l  r  v  >  r  r  v  l  l  <  <  l  L  L  >  r  r  v  l  l  
>  r  r  r  r  r  v  l  l  r  r  v  >  >  v  <  <  L  L  <  l  L  >  >  >  <  <  <  
r  >  >  r  r  r  v  l  l  r  r  v  R  R  ^  L  L  v  l  l  l  R  >  R  R  ^  L  L  
>  r  >  >  >  >  r  <  l  r  >  r  R  R  ^  L  >  <  <  <  <  >  R  R  r  v  l  L  
r  >  R  >  R  R  r  v  l  l  r  >  R  R  ^  L  R  ^  L  L  L  v  >  r  r  v  l  l  
r  r  >  R  R  >  >  r  <  l  >  R  ^  R  ^  L  R  ^  L  L  v  r  v  >  >  v  <  <  
>  r  r  r  r  R  R  r  v  l  l  ^  L  L  ^  r  r  v  l  r  r  v  l  R  R  ^  L  L  
v  r  r  r  r  r  v  >  l  <  <  L  ^  L  r  r  r  v  l  r  r  v  l  l  R  ^  L  <  
r  v  r  >  r  r  v  l  ^  L  L  <  <  >  >  >  >  <  <  >  >  <  <  <  l  R  ^  L  
r  v  v  >  >  >  >  <  <  L  L  L  L  R  R  R  R  ^  L  R  R  ^  L  v  l  l  l  ^  
r  v  l  l  R  R  ^  L  L  <  L  L  L  R  R  R  R  ^  L  R  R  >  >  <  <  <  <  L  
r  v  l  l  R  R  ^  L  L  L  <  L  ^  R  R  R  R  R  ^  R  R  R  R  ^  L  L  L  <  
>  <  <  <  R  ^  L  L  L  L  L  <  L  R  R  R  ^  R  R  R  R  R  ^  L  ^  L  L  <  
R  ^  L  L  <  ^  L  L  L  L  L  L  R  R  R  R  R  R  R  R  R  ^  L  L  R  ^  L  L  
R  ^  L  L  L  L  ^  ^  L  L  L  L  R  R  ^  R  R  R  R  R  ^  L  R  L  R  ^  ^  L  
R  R  ^  L  L  L  L  ^  ^  L  L  L  L  R  ^  R  R  ^  R  R  ^  L  ^  R  ^  ^  ^  L  
^  L  L  ^  L  L  L  L  ^  ^  L  L  L  L  R  R  ^  R  R  ^  R  R  R  ^  L  ^  R  ^  
Correct actions (%) : 11.36
Avg angular diffs   : 81.14
