arguments: 27 8 1 0.199632 0.400602 0.332831 -0.0669344
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 0.67, -0.07, -0.07, 0.70, 0.03, 0.13, 0.03, 0.73, -0.07, -0.07, -0.07, 0.77, -0.07, -0.07, 0.80, -0.07, 0.83, -0.07, -0.07, 0.86, -0.07, -0.07, 
-0.07, -0.07, -0.03, -0.07, -0.07, -0.00, -0.07, -0.07, 0.03, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 0.03, 0.13, 0.13, 0.13, 0.03, -0.07, -0.07, -0.07, -0.07, -0.07, 
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.02, 0.03, -0.02, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-- optimal policy --
>  >  r  v  l  >  ^  <  >  ^  <  v  >  ^  <  r  >  ^  <  >  ^  >  R  <  >  ^  <  <  
v  >  >  R  <  R  ^  L  R  ^  L  >  R  ^  L  >  R  ^  L  R  ^  R  ^  L  R  ^  L  L  
r  v  R  ^  L  R  ^  r  r  v  R  ^  L  L  ^  R  ^  ^  R  R  R  >  ^  <  L  ^  L  L  
>  R  <  ^  ^  L  r  >  >  >  <  ^  L  L  L  ^  r  r  r  v  l  R  ^  L  L  L  ^  L  
R  ^  L  <  r  r  >  R  R  ^  L  L  v  v  l  v  l  r  r  v  l  l  ^  L  L  L  L  L  
v  l  l  L  r  r  v  R  R  ^  L  r  v  l  r  v  l  >  >  v  <  <  l  ^  L  L  L  v  
<  <  <  r  >  >  >  r  v  l  l  >  r  <  >  ^  <  v  R  ^  L  L  <  r  v  r  v  l  
^  L  r  r  v  l  ^  >  L  <  <  R  ^  L  R  ^  L  R  <  ^  L  L  L  r  r  v  l  l  
v  l  r  v  l  l  v  l  ^  L  <  ^  ^  ^  L  ^  R  ^  L  r  v  l  r  v  l  v  l  l  
<  <  >  >  <  <  <  <  L  ^  L  l  l  r  r  R  ^  ^  r  >  l  <  >  v  <  l  <  <  
^  L  R  ^  L  L  ^  L  r  r  v  l  l  r  r  v  l  l  r  R  ^  L  R  ^  L  ^  L  L  
^  R  R  R  ^  L  L  l  r  r  v  l  l  r  r  v  l  l  >  ^  <  R  R  ^  L  L  L  L  
