arguments: 27 39 4 0.333472 0.388657 -0.222269 -0.0556019
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.06, -0.06, -0.06, -0.06, -0.06, -0.23, -0.06, -0.06, -0.26, -0.06, -0.06, -0.28, -0.06, -0.06, -0.04, 0.04, -0.04, -0.06, 0.03, 0.11, 0.03, 0.11, 0.28, 0.11, -0.06, -0.06, -0.06, -0.06, 
-0.08, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.46, -0.06, -0.06, -0.48, -0.06, -0.06, -0.50, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-- optimal policy --
r  r  >  r  r  r  >  r  r  r  r  r  >  r  r  v  r  r  r  v  l  l  <  <  <  <  <  <  
r  r  r  >  r  r  r  r  r  r  r  v  r  r  >  >  r  r  v  l  <  <  L  L  L  L  <  l  
r  r  v  r  >  r  r  r  r  r  r  r  v  r  r  r  >  >  R  <  L  L  L  L  L  L  L  <  
r  r  r  r  v  >  r  r  r  r  r  r  r  v  r  r  v  l  ^  L  L  L  L  L  L  L  <  l  
r  r  r  r  r  v  >  r  r  r  r  r  r  r  v  l  l  l  l  L  L  L  L  L  L  v  l  l  
r  >  r  r  r  v  v  >  r  r  r  >  r  r  v  l  <  <  <  l  L  L  L  L  r  v  l  l  
r  r  >  r  r  r  v  l  r  r  r  r  >  >  v  <  L  L  L  <  L  L  L  L  >  v  <  <  
>  r  r  >  r  r  v  l  r  r  r  >  R  R  ^  L  L  L  l  L  <  L  L  R  R  ^  L  L  
>  r  r  r  >  >  r  <  r  r  >  R  R  R  ^  L  L  <  <  <  L  <  l  R  R  ^  L  L  
r  >  r  >  R  R  r  v  r  >  R  R  R  R  ^  L  L  L  L  L  <  L  <  r  r  v  l  l  
>  r  >  R  R  >  >  r  >  R  R  R  R  R  ^  L  L  L  L  L  L  <  L  >  >  v  <  <  
R  >  R  R  >  R  R  r  v  R  R  R  R  ^  ^  ^  L  L  L  L  L  L  l  R  R  ^  L  L  
v  R  >  r  r  r  >  >  >  R  R  R  R  ^  L  ^  ^  L  L  L  L  v  l  l  R  ^  L  L  
r  v  >  r  r  r  v  R  ^  L  L  R  ^  L  ^  >  >  ^  <  <  >  L  <  <  l  l  ^  L  
v  l  v  >  >  >  R  <  ^  L  L  L  L  ^  >  R  R  ^  L  L  R  ^  L  v  l  l  l  ^  
r  v  l  l  R  R  ^  L  L  ^  L  L  L  >  R  R  R  ^  L  L  R  ^  >  >  <  <  <  <  
r  v  l  l  R  R  ^  L  L  L  ^  L  ^  R  R  R  ^  L  ^  L  L  R  R  ^  L  L  L  <  
>  >  <  <  R  R  ^  L  L  L  L  ^  R  R  R  ^  ^  ^  L  ^  R  R  ^  R  ^  L  L  L  
R  ^  L  L  <  ^  ^  ^  L  L  L  L  R  R  ^  ^  R  ^  L  R  R  ^  ^  R  R  ^  L  L  
R  ^  L  L  L  <  ^  ^  ^  L  L  L  R  R  ^  R  R  R  R  R  ^  L  R  ^  ^  ^  ^  L  
R  ^  ^  L  L  L  <  ^  ^  ^  L  L  L  ^  ^  R  ^  ^  R  R  R  ^  L  L  R  ^  L  ^  
R  ^  L  ^  L  L  L  L  ^  R  ^  L  L  L  R  ^  ^  R  ^  ^  R  ^  R  ^  R  ^  R  ^  
Total actions tested : 49
Correct actions (%) : 18.37
Avg angular diffs   : 81.73
