arguments: 59 26 1 0.266711 -0.3999 0.266544 -0.0668449
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 0.52, -0.07, 0.07, 0.81, 0.07, -0.07, -0.07, 0.57, -0.07, -0.07, -0.00, 0.73, -0.00, -0.07, 0.63, -0.07, 0.65, -0.07, -0.07, 0.68, -0.07, -0.07, 
-0.07, -0.07, -0.04, -0.07, -0.07, -0.01, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, -0.07, 
-- optimal policy --
r  r  r  v  r  >  r  >  >  ^  <  <  l  ^  <  r  >  ^  <  l  R  >  L  <  >  R  <  <  
r  v  l  r  >  R  >  R  R  ^  L  L  <  ^  L  >  R  ^  L  <  ^  R  ^  L  R  ^  L  <  
>  l  <  ^  R  >  R  R  R  ^  L  L  L  L  R  R  R  ^  L  L  R  R  ^  R  ^  R  ^  L  
R  ^  L  R  >  R  R  R  ^  L  L  L  L  L  R  R  R  ^  L  L  L  R  R  ^  R  ^  ^  L  
^  L  ^  L  R  R  R  ^  L  ^  L  ^  L  L  ^  R  R  ^  L  L  ^  L  ^  R  ^  ^  L  ^  
v  l  L  R  R  R  ^  R  ^  R  ^  L  L  L  L  R  R  R  ^  L  L  ^  L  L  R  ^  ^  ^  
<  <  v  l  R  ^  R  R  ^  L  R  ^  L  ^  L  R  R  R  ^  L  L  L  <  L  R  ^  ^  ^  
^  L  L  <  >  R  <  ^  ^  L  ^  ^  ^  L  R  R  R  R  ^  L  L  L  L  L  <  ^  ^  ^  
^  R  ^  L  R  ^  L  <  ^  ^  ^  L  ^  L  R  R  R  ^  L  R  R  ^  L  L  L  <  L  ^  
R  R  ^  L  L  ^  ^  L  >  ^  <  >  L  <  >  R  <  >  R  <  ^  ^  L  L  L  v  l  l  
R  R  ^  ^  L  L  L  ^  R  ^  L  R  ^  L  R  ^  L  R  ^  L  >  L  <  r  v  l  l  l  
^  ^  L  ^  ^  L  L  R  R  ^  ^  L  ^  R  ^  ^  R  R  ^  L  R  ^  L  >  r  <  l  l  
^  R  >  ^  <  L  L  R  ^  >  >  ^  <  r  v  >  ^  <  L  R  ^  ^  >  R  ^  L  <  <  
R  R  R  ^  L  L  l  l  >  R  R  ^  L  >  R  R  ^  L  L  l  ^  >  R  R  R  ^  L  L  
R  R  R  ^  L  l  l  l  R  R  R  ^  R  R  ^  L  ^  L  L  l  R  R  R  >  R  ^  L  L  
R  R  >  >  ^  <  <  l  R  R  ^  R  R  R  ^  L  R  ^  L  <  R  R  R  R  ^  L  ^  L  
R  >  R  R  ^  L  L  <  R  ^  R  R  R  ^  R  R  R  ^  L  L  r  v  R  R  R  ^  L  L  
>  R  R  R  ^  L  L  L  L  R  R  R  ^  L  R  R  ^  R  ^  L  >  R  <  R  R  R  ^  L  
R  R  R  ^  L  ^  L  L  L  L  <  >  R  ^  R  R  ^  >  R  >  R  ^  L  R  R  R  ^  L  
R  R  R  ^  ^  L  ^  L  L  L  L  R  ^  L  R  ^  L  R  ^  R  ^  R  ^  L  R  ^  ^  ^  
R  R  ^  L  R  ^  L  ^  L  L  L  L  ^  R  ^  ^  R  ^  R  ^  R  ^  L  ^  L  ^  ^  ^  
R  ^  ^  R  ^  ^  L  L  ^  L  L  L  R  ^  R  R  ^  R  R  ^  ^  R  ^  L  ^  L  R  ^  
Total actions tested : 53
Correct actions (%) : 15.09
Avg angular diffs   : 66.23
