arguments: 47 26 1 -0.447075 -0.444847 0.0523677 -0.0557103
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 0.06, -0.06, -0.28, -0.38, -0.28, -0.06, -0.06, 0.07, -0.06, -0.06, -0.17, -0.15, -0.17, -0.06, 0.08, -0.06, 0.09, -0.06, -0.06, 0.09, -0.06, -0.06, 
-0.06, -0.06, -0.05, -0.06, -0.06, -0.05, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, 
-- optimal policy --
v  r  r  v  r  >  ^  <  l  l  r  r  >  ^  <  l  l  >  >  >  R  >  ^  <  >  ^  <  l  
r  v  l  l  >  R  ^  L  <  l  r  >  R  ^  L  <  <  R  R  R  ^  R  ^  L  R  ^  L  <  
>  l  <  ^  R  ^  R  ^  L  <  >  R  R  ^  L  L  L  R  R  R  R  R  ^  R  ^  R  ^  L  
R  ^  L  <  ^  R  ^  L  L  L  R  R  ^  ^  L  L  L  R  ^  R  ^  R  R  R  R  ^  R  ^  
^  L  ^  L  <  R  ^  L  ^  R  R  ^  R  ^  L  <  l  L  L  >  R  R  R  R  ^  L  ^  L  
v  l  L  ^  L  <  R  ^  R  R  ^  R  ^  ^  L  L  <  l  r  R  R  ^  L  R  R  ^  L  ^  
l  <  v  l  l  L  l  R  R  R  ^  R  ^  L  ^  L  L  <  l  R  ^  L  r  >  R  R  ^  L  
^  L  <  <  l  l  <  <  R  ^  R  R  R  ^  L  ^  L  L  <  v  l  r  >  R  R  ^  ^  ^  
^  R  ^  L  <  ^  L  L  <  v  l  ^  ^  L  L  R  ^  L  v  l  l  >  R  R  R  ^  L  ^  
