arguments: 31 22 4 0.388112 0.445455 0.0265734 -0.13986
loading features...

Initializing gridworld of size 28 by 22..
    Num states: 616
    Num actions: 8
recovered reward
-0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.08, -0.14, -0.14, -0.08, -0.14, -0.04, 0.05, 0.02, -0.14, -0.14, -0.14, -0.07, -0.14, -0.14, -0.07, -0.14, -0.07, -0.14, -0.14, -0.07, -0.14, -0.14, 
-0.14, -0.14, -0.04, 0.05, -0.04, -0.13, -0.14, -0.14, -0.13, -0.14, 0.08, 0.31, 0.08, -0.14, -0.14, -0.14, -0.14, -0.14, -0.04, 0.05, -0.04, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, 
-0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.03, 0.08, -0.03, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, 
-0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, -0.14, 
-- optimal policy --
r  r  v  l  l  >  ^  <  r  r  r  r  v  l  l  v  l  l  <  >  ^  >  ^  <  >  R  <  l  
r  r  v  l  l  R  ^  L  r  r  v  l  l  <  <  v  l  l  L  r  r  v  l  r  r  v  l  l  
>  >  >  <  <  <  ^  r  r  >  v  <  ^  L  r  v  l  l  >  r  r  v  l  r  r  v  l  l  
R  R  ^  L  L  L  r  >  r  r  v  l  l  v  >  l  <  <  R  >  >  ^  <  >  >  v  <  <  
R  R  ^  L  L  L  >  R  >  >  ^  <  r  v  l  ^  L  L  >  R  R  ^  r  v  R  ^  L  L  
v  l  R  ^  L  L  r  >  R  R  ^  L  >  l  <  <  L  L  R  R  R  >  >  >  R  ^  L  L  
<  <  <  r  r  v  r  r  R  R  ^  >  R  ^  L  L  <  L  l  R  >  R  R  ^  L  l  L  L  
^  L  <  r  r  r  v  l  l  <  R  R  ^  L  L  L  L  l  <  >  R  R  R  >  L  <  <  L  
v  l  r  v  r  r  v  l  l  L  R  R  ^  L  r  v  l  l  l  r  v  R  R  R  ^  L  L  <  
L  <  >  R  >  >  <  <  <  <  R  ^  r  r  r  v  l  l  <  >  R  R  R  R  ^  L  L  L  
^  L  R  ^  R  R  ^  L  L  L  <  >  >  >  >  ^  <  <  L  R  ^  L  R  r  r  v  l  l  
r  v  l  R  R  R  ^  L  L  L  L  R  R  R  R  ^  L  L  L  L  ^  R  >  r  r  v  l  l  
r  r  v  l  l  ^  ^  ^  L  L  L  R  R  R  R  ^  L  L  L  l  l  l  r  >  >  >  <  <  
r  r  v  l  l  l  ^  ^  ^  L  v  v  R  R  r  r  v  l  l  l  l  l  >  R  R  ^  L  L  
